laptop,price
Dell Inspiron N3567S,9.990.000₫
"Dell Inspiron N3481/Core i3-7020U/4Gb/1Tb/14""HD/3cell/Win 10/Bạc/030CX1",10.990.000₫
Dell Vostro V3481/Core i3-7020U/70187645,11.290.000₫
Dell Vostro V3581/Core i3-7020U/V5I3027W,11.490.000₫
"Dell Inspiron N3581/Core i3-7020U/4Gb/1Tb/AMD Radeon 520 2Gb/15.6""FHD/Win10/Đen/N5I3150W",11.890.000₫
Dell Inspiron N3580A/Core i3-8145U/P75F106N80A,11.890.000₫
Dell Inspiron N3481/70190294,11.990.000₫
"Dell Inspiron N3480/Core i5-8265U/4Gb/1Tb/14""HD/Win10/Bạc/N4I5107W",13.490.000₫
"Dell Vostro V3480/Core i5-8265U/4Gb/1Tb/14.0""HD/Finger/Win 10/Đen/70187647",13.990.000₫
Dell Inspiron N3580I/Core i5-8265U/P75F106N80I,13.990.000₫
Dell Inspiron N5593 i3 1005G1/70196703,13.990.000₫
Dell Vostro V3580/Core i5-8265U/T3RMD1,14.290.000₫
Inspiron N3576F/Core i5-8250U/4Gb/1Tb/DVWRW/Win 10,14.390.000₫
Dell Vostro V3580I/Core i5-8265U/4Gb/1Tb/DVDRW/15.6FHD/AMDRadeon 520 2Gb/Win 10/Đen/P75F010V80I,14.490.000₫
Dell Inspiron V5490 i3 10110U/V4I3101W,14.790.000₫
